"star","title","author","date","info_2","info_3","product","date_scraped","verfied","days_to_review","star_rating"
"1.0 out of 5 stars","We believe that this may be a knock off since we have owned great Hunter brand thermostats in the past","Amanda Mitchell","6-20-2016","Verified Purchase","After months of thinking my spouse had changed the thermostat and he thinking that I had, we experimented to figure out this problem. We have come to the conclusion that this is not a programmable thermostat and doesn't even work as a manual thermostat. It daily changes temperatures even when every program is set to 70 degrees. Wish I could return it. We believe that this may be a knock off since we have owned great Hunter brand thermostats in the past.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","It was easy to program and easy to adjust the programming","Medieval Lady","8-26-2017","Verified Purchase","It was easy to program and easy to adjust the programming. Installation was a breeze. So happy with my purchase.","Hunter_44157","2018-01-31","yes",NA,5
"2.0 out of 5 stars","good for manual only not programming would not buy","Randy","11-19-2014","Verified Purchase","ordered this as I had used this thermostat before. The first one I got when you over ride the program it did it permanently instead of temporally.  Sent it back got another one same thing I already have two in use and they work fine do not think it is me, but decided before I sent it back to call Hunter tech support have been on hold for 1 hour and 10 minuets.  So I would not buy this product unless you want to just manually control the heat or ac.","Hunter_44157","2018-01-31","yes",NA,2
"1.0 out of 5 stars","Is it possible to rate zero stars? This thing ...","Debra R","12-11-2017","Verified Purchase","Is it possible to rate zero stars? This thing DOES NOT WORK! This is the replacement one b/c the first one did not work. It does not hold the programming and runs whatever schedule it wants to.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Junk, don?ôt waste your $","Thomas D.","10-17-2017","Verified Purchase","Defective, won?ôt hold the set temperature.  We have two older versions of this same model and they are fine.  QC is bad on the new ones or they are counterfeit.  We got 2/2 bad ones from Amazon in late September 2017.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Five Stars","Amazon Customer","11-7-2017","Verified Purchase","Easy set up in a heating only system.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","it lets u know when to change the batteries","capt.tom","1-17-2018","Verified Purchase","it works good","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Amazon Customer","4-11-2017","Verified Purchase","excellent","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Easy to install and use","Jey","2-19-2017","Verified Purchase","Easy to install, program and use. It's had a few minor glitches but works well for the price. It's convenient and economical to have the temperature automatically adjust at certain times of the day. Instructions are easy to follow and the typical non-electrician can install it.","Hunter_44157","2018-01-31","yes",NA,4
"1.0 out of 5 stars","Termporary override does not work","Rich","11-12-2015","Verified Purchase","When I try to temporarily override the set program, it permanently changes the program.  When I press up or down to change the temperature, it will change the program for the entire time slot to the new temperature.  So if I change a 12-5 program from say 60 to 70 with just using the up button, tomorrow from 12-5 it will be programmed to 70.  It's almost like having a manual thermostat.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Avoid the headache","Truth","8-22-2016","Verified Purchase","I followed the instructions to the letter and my thermostat still wont work properly. First nite I installed it I set it at 78, and yes it qas on the hold override my ac ran all night and in the morning it was at 66 degrees! Would not shut off no matter how high the temp was. SMH","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","heater won t warm up. 72","Amazon Customer","7-22-2016","Verified Purchase","Perfect for heating and air. Before house would not warm up past 72. Now it gets to 80+. All this time thermostat was bad.Worth every penny.","Hunter_44157","2018-01-31","yes",NA,5
"1.0 out of 5 stars","Energy Star LIE IT IS NOT 2 to 3 degrees off on room temp seems to run all the time not like my other one","uxbridge6","12-8-2017","Verified Purchase","said Certification: Energy Star  LIE IT IS NOT  2 to 3 degrees off on room temp  seems to run all the time not like my other one didHunter 44157 - 5/2-Day Digital Programmable Thermostat (Home Thermostat, AC, Heat)","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Didn't work","Jessica","2-25-2017","Verified Purchase","The thermostat did not work. I have this same thermostat for another zone, but after reading other reviews it appears that they changed how its made. I did not purchase a replacement.","Hunter_44157","2018-01-31","yes",NA,1
"4.0 out of 5 stars","I like this one","Lisa_S.","10-3-2016","Verified Purchase","I like this one.  It's programmable, has an adjustable span, has a temporary and permanent hold option, and doesn't have a very loud ""click"" when it turns on.","Hunter_44157","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Works great and very easy to install","Amazon Customer","1-16-2017","Verified Purchase","Works great and very easy to install. Holds temp to 1 degree of set point compared to my old round one that fluctuated by up to 3 or 4 degrees","Hunter_44157","2018-01-31","yes",NA,5
"2.0 out of 5 stars","set temp is always one degree higher than actual temp ...","Red ryder","2-12-2017","Verified Purchase","set temp is always one degree higher than actual temp . should be the same. last hunter t stat was dead on but after 10 years display died","Hunter_44157","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Works great and good value for the price","STD","11-9-2015","Verified Purchase","Works great and good value for the price. I installed it in my 5th wheel and couldn't be happier. Love the backlight and dwelll settings. Has to install a micro switch to control my fan speed but otherwise perfect.","Hunter_44157","2018-01-31","yes",NA,5
"1.0 out of 5 stars","Defective","Amazon Customer","11-13-2016","Verified Purchase","The product was defective the heat feature did not work n did become aware of problem till it was beyond return eligibility.","Hunter_44157","2018-01-31","yes",NA,1
"2.0 out of 5 stars","I've had issues with this thermostat the last few months ...","Sonya Priest","11-7-2015","Verified Purchase","I've had issues with this thermostat the last few months. No matter what I set the temperature to, it seems to change the setting all the time. Go to bed with it set at 62 and wake up at 8am sweating to death with the temp at 69.","Hunter_44157","2018-01-31","yes",NA,2
"3.0 out of 5 stars","Three Stars","melvin a tahir","12-4-2017","Verified Purchase","Lacks many features, about average, nothing special.","Hunter_44157","2018-01-31","yes",NA,3
"5.0 out of 5 stars","Five Stars","T Lady","2-17-2017","Verified Purchase","Very easy to install, great price, and easy to program!","Hunter_44157","2018-01-31","yes",NA,5
"1.0 out of 5 stars","Poor Quality Control","GReviews","1-20-2015","Verified Purchase","We ordered two Hunter 44157 for our rental properties to replace some older manual thermostats. We intentionally looked for this brand because we've owned the Hunter 44110 (no backlight) for six+ years and have had a good experience with them. The backlight in the 44157 model seemed appealing and the advertised feature set (per the user manual) was all the same as our older ones, so we felt good about giving them a try. Below is a brief description of our experience.Ease of Installation and UseThe included installation/user manual is adequate for most skill levels, and for most normal (single stage) natural gas furnace installations the process is straightforward. We also preferred these over the ones in stock at the local hardware stores because the batteries are very easy to replace right on the front of the unit. Most models sold now a days require you to remove the unit from its wall plate to replace the batteries located inside of the thermostat; which is intimidating for most tenants.The Temperature HOLD FeatureThe printed documentation as well as the instructions on the unit itself describe the HOLD feature as a way to permanently override all programming settings, leaving the unit in ""manual' operation or vacation mode. In other words, while the HOLD icon displays on the screen, the programming will not run; the temperature you set it to will be held until you manually change it. For our needs, this feature is not only desirable but required when one of our rentals is vacant as it makes it simple to override the programming. Our older 44110 units work this way and they have been reliable so far. Not so for these 44157 model. The HOLD feature on these is erratic and cannot be trusted. As you read the different reviews and their comments for this on Amazon, you'll find people having totally opposing opinions and experiences with it even after carefully following the printed instructions.The Night-Light FeatureWe installed both of them according to the product's instructions and proceeded to setup a custom programming for the week/weekend days. The backlight comes on when any of the buttons is pressed and goes off on its own after a few seconds. Sadly, the backlight in one of them failed within the first few minutes of use. It started working fine but then it flickered a couple of times and just would not light up anymore. The other one was installed in a unit that was vacant at the time, so we setup a very specific programming for it. The backlight on this second unit would light up, but it also had a little flicker issue, and while the light was was on, you could hear a faint beep sound from inside the unit.The ProgrammingAfter about four days, we stopped at the vacant unit and inspected the programming only to find that it had very different set of times and temperatures from what we had originally set it to. Re-programmed it the way we needed it, and then ran the furnace a couple of cycles while we did some cleaning. It turns out the thermostat unit was sort of resetting itself to random temperatures ranging from 48F to 69F, all within a couple of hours time.It seems the manufacturer has lowered their quality control standards and so their products are no longer as solid as they used to be. We returned both units and replaced them with a different brand.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Not a good Thermostat","Riptide110","3-14-2015","Verified Purchase","Display is easy to read and functions are easy to use.  As stated by other, when heat is turn on, thermostat will NOT kick off.  Heat will not turn off until thermostat is turned off.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Really like this thermostat","T-n-T Handywork","11-26-2015","Verified Purchase","Really like this thermostat. Easy to read and use. Been using for 3 months with both AC and Heat. Reliable performance.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","... thermostat that can be programmed while setting in your easy chair and it is very inexpensive with up to ...","Roger Irving","3-29-2015","Verified Purchase","This very reliable programmable thermostat that can be programmed while setting in your easy chair and it is very inexpensive with up to 4 separate programs for each day..","Hunter_44157","2018-01-31","yes",NA,5
"3.0 out of 5 stars","Next time I am going to purchase a better one.","Bad Mackrel","2-4-2016","Verified Purchase","these only seem to last a few years. Next time I am going to purchase a better one.","Hunter_44157","2018-01-31","yes",NA,3
"1.0 out of 5 stars","Hold setting for vacation does not work!","Middle-aged dad","1-29-2015","Verified Purchase","This could be a fine thermostat, but the ""Hold"" function does not work.  I push the ""hold"" button until the ""hold"" icon appears. then I adjust the temperature. Mine does not act as a permanent hold OR a temporary hold. It simply changes the temp I had previously set for the current time period in the ""program"" menu. I can take the ""hold"" off, and my program remains changed until I go back in and fix it. really annoying and not very helpful for setting for vacation. I got this to replace another Hunter model, and I liked it because it is large and covers the hole in the wall well.  But, this flaw really ruins the thermostat.  I actually ordered a 2nd one thinking the 1st one I bought was a ""dud"", but the 2nd one I purchased has the same flaw.  DO NOT BUY!","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Love this. Able to program temperatures for different times ...","Nick ","7-5-2015","Verified Purchase","Love this. Able to program temperatures for different times of day which has helped lower the electric bill. Also looks nice.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","ohg","10-27-2016","Verified Purchase","Works perfectly","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Cathy Herman","1-29-2016","Verified Purchase","Works great now that I am in the winter season.  Would definitely buy again.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","I've had one of these and never had a problem ...","Savannah Martin","5-16-2015","Verified Purchase","I've had one of these and never had a problem out of it. So when we bought a new house, I decided to buy one to install there.","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Good product","buzz66boy","3-17-2015","Verified Purchase","I have used these thermostats for several years in many different locations and they work great.  I have never had any issue.","Hunter_44157","2018-01-31","yes",NA,4
"2.0 out of 5 stars","Not for those that want to temporarily override the programming","Blofeld's Cat","9-25-2015","Verified Purchase","This was a rather disappointing experience.  I had installed an older model at my last place and was very happy with it, never having any problems.  So despite what some others reported, I purchased this model.  Unfortunately I encountered the same problems.  If I deviated from the programmed temperatures by manually adjusting the thermostat, it affected the permanent program for that time period.  So the next day, when the program for that time period activated, the temporary setting was the one used.  It did not matter if I used the permanent override or not, the changes always affected the programming even though I was not in programming mode.  I ended up sending it back and purchasing a Honeywell.  For those that want to simply program and never change anything on a temporary basis, the Hunter would be fine.  It's too bad because in all other respects, it worked just the way it should.","Hunter_44157","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Great thermostat","David Briggs","12-10-2014","Verified Purchase","I really like the fully programmable features.  Easy to program,  and once you've set it up, you'll never have to touch it again!","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","barry zwicker","5-7-2016","Verified Purchase","Works fine.","Hunter_44157","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Great Product","PC MEDIC","6-27-2015","Verified Purchase","Awesome product for the money , you can't go wrong with Hunter products","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","JEFF WYMAN","4-29-2015","Verified Purchase","Very happy with thermostat, works great, and got it for a good price !!!","Hunter_44157","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Five Stars","Doug","12-19-2014","Verified Purchase","Works great! Easy to set up, easy to install. Has good instructions even for two wire install.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Joel","5-31-2015","Verified Purchase","Works just great in the camper & you can't beat the price","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Doug","12-10-2015","Verified Purchase","Works great","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Works as advertised. Factory set program made set up ...","chappell","12-20-2014","Verified Purchase","Works as advertised.Factory set program made set up simple.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","ben moore","12-18-2014","Verified Purchase","Very easy to install and program...and it does the job.","Hunter_44157","2018-01-31","yes",NA,5
"2.0 out of 5 stars","Two Stars","April","1-30-2015","Verified Purchase","the hold feature doesn't work on two of them","Hunter_44157","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Easy to install and program","Mike","9-27-2014","Verified Purchase","This thermostat has high end features for a low end price.","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","OOOOAH","1-21-2015","Verified Purchase","did the job at a great price","Hunter_44157","2018-01-31","yes",NA,4
"5.0 out of 5 stars","easy programming","netman","11-13-2013","Verified Purchase","If you need just 4 setpoints per day, this is the thermostat to get.  Very easy to set up and modify.","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Royal Palm Bch Mom","9-25-2014","Verified Purchase","Excellent product.  Easy to install.","Hunter_44157","2018-01-31","yes",NA,5
"1.0 out of 5 stars","my electricity bill shot up by like $70. I programmed this thermostat to about 78 ...","Natasha A.","4-12-2017","Verified Purchase","After owning this thermostat for all of a few weeks, my electricity bill shot up by like $70. I programmed this thermostat to about 78 degrees while I was at work, however, instead of it cooling the house if the temperature went over 78 degrees, it would heat the house to 78 degrees (while in cool mode)!!!! I'd set it to about 72 at night, and wake up in the middle of the night sweating because the thermostat was on like 80. I had to completely just turn off my AC and sleep in front of a fan, and I live in South Florida!!! THIS THERMOSTAT SUCKS!!! IT'S THE WORST. AVOID AT ALL COST!!! DO NOT BUY UNLESS YOU WANT AN AT HOME SAUNA!!!","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Terrible","movie collector","12-15-2014","Verified Purchase","The heater will not stop running.  I had the Heat set for 70 degrees, it never shut off!  I manually turned it off when it reached 80 degrees.  Called my electrician and told him the brand i purchased, he said that this particular brand has a low success rate of working properly.  He suggested a Honeywell brand.  I installed the honey well and now everything works perfectly.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Bad Product!","vegasgal","2-22-2015","Verified Purchase","I purchased this thermostat because simply because of the blue backlight.  It was identical to the one I already had except mine did not have a backlight and it was not programmable.  I tried it for a few days but no matter how we set it, it kept doing its own thing and changing the temperature.  My son is very mechanically inclined, so when he couldn't get it to work properly, I knew it was either defective or a really bad product.  I ended up returning this thermostat and ordering PRO1 IAQ T701 (non-programmable) instead.  The PRO model is excellent!  It works perfectly, and I now have the blue backlight that I wanted.","Hunter_44157","2018-01-31","yes",NA,1
"2.0 out of 5 stars","Two Stars","Armando","8-9-2016","Verified Purchase","Not work to good turn on and after 10 second turn off","Hunter_44157","2018-01-31","yes",NA,2
"2.0 out of 5 stars","HUNT for a different thermostat.","ken van de north","7-6-2015","Verified Purchase","Directions were very complicated and not user friendly. When I called Hunter support, I was told that they do not make thermostats any more and could not help.","Hunter_44157","2018-01-31","yes",NA,2
"1.0 out of 5 stars","No good. Dont buy.","Clev Family","2-27-2015","Verified Purchase","This was my second one. It also failed. Finally replaced with better brand Honeywell.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Poor quality","PAUL R. KING","2-29-2016","Verified Purchase","Actual temp off by as much as 5 degrees","Hunter_44157","2018-01-31","yes",NA,1
"4.0 out of 5 stars","Solid feature set, good price","whit","10-14-2014","Verified Purchase","This is full-featured at a good price. Not only does it have 4 time periods per day, and separate settings for weekends, but it has a settable ""span,"" to determine how many degrees to go below and above the set temperature before switching on or off. A wider span can avoid cycling your furnace or pellet stove too fast. Other thermostats this price lack that feature. It also can be set to ramp between settings, rather than suddenly change them at the set times.Definitely requires reading the manual. The controls will not make sense without it. Several switches on the back which have to be set right for your system before putting it on the wall.","Hunter_44157","2018-01-31","yes",NA,4
"1.0 out of 5 stars","Mine could have been a lemon, but I wasn't interested in going through another especially cold night to figure it out!","jfdavis27822","12-23-2016","Verified Purchase","I was replacing an older version of this same exact thermostat.  I'm not sure if the quality itself has diminished since my original was manufactured, but I had to return this new one for a refund.  I programmed this thermostat exactly as I had programmed the original and the first problem that I had was that the new unit would intermittently jump away from the program.  It was programmed to keep the heat temp set at 66F during the overnight hours and three times in two weeks we woke up to temps of 55F and 58F???  That alone was enough for me, but that wasn't the end of it.  My old unit worked great for 10+ years, but the temp up/down buttons began to not work and that was the reason for the replacement.  I ordered a LUXPRO unit to try.  The first thing I noticed was the my original Hunter and the new LUX registered the same temp, while the new Hunter that I have since returned, was registering 3F higher than both of the others.  Obviously, I was happy with the service of the first Hunter unit, but for some reason, the new unit did not meet the high operating standards that I had enjoyed for the last ten years.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Disappointed with Hunter's customer support.","W.B.","12-29-2016","Verified Purchase","I have been using Hunter thermostats for many years. However, my recent purchase was very disappointing; the thermostat consistently shows the temperature 3 to 4 degree lower. I contacted Hunter support and asked if they could mail me a new control board. They recommended to do a hard reset, which did not help. I told them, I would rather avoid giving a bad review and all the hassle with a return. They offered no help. The seller offered to refund the product, upon return. I decided to set everything down by 4 degrees, and it works fine, unless a family member changes it back to standard setpoint. I can't believe that Hunter would not send me a working board that costs them some 2 to 3 dollars. Bad customer support. Sad.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Certified Engineer","Jesse B","1-3-2017","Verified Purchase","This item is not good at all. I have this in a vacant unit we are remodeling. My HVAC system was short cycling and i thought it was the thermostat. It wasnt my return vent is not a long enough run and i corrected this. This thermostat was set and programmed to 55 degrees. I came to this unit after the holidays and its 83 degrees. The set point still showed 55 degrees. I turned it off and will use it like this until i get a wifi enabled thermostat. Do not buy this if you want it to work. I am lucky to have the skills to install and uninstall for nothing but my time. Some people are not that lucky.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Great gift for someone you don't like","Vince Weaver","12-30-2016","","Garbage.  Run the other way.  As others have posted, this unit has a mind of it's own.  The first year, it was pretty intermittent.  I thought someone in the house was screwing with the settings.  Eventually, it started doing it so regularly, I knew it was the unit- but of course by then, it was out of warranty. What it does for me is it changes the temp setting to a default 60 degrees.  We would go to bed with the setting and temperature at 70, and wake up at 4 in the morning with the setting at 60, and the house temp dropped to 63 or lower.  Could happen any time of day or night at random.At the time of purchase, it was a mid-priced unit.  I wouldn't install another one if it were free after seeing so many reviews with the same or similar issue.","Hunter_44157","2018-01-31","no",NA,1
"1.0 out of 5 stars","They were both used moderately at best as we will in a temperate climate and rarely ...","Gafar","11-15-2015","","I purchased two of these about 2 years ago and had them professionally installed.  They were both used moderately at best as we will in a temperate climate and rarely need heat or air con (maybe 90 days per year).  Both units failed within that time from faulty buttons. Hunter would not help as 1 year warranty had expired. I would expect 5-10 years of use out of a home thermostat not 13 and 18 months.","Hunter_44157","2018-01-31","no",NA,1
"1.0 out of 5 stars","Don't bother","Britcanuck","10-23-2016","Verified Purchase","Waste of time, Hunter used to make great thermostats but now they should stick with making blinds","Hunter_44157","2018-01-31","yes",NA,1
"4.0 out of 5 stars","great themostat at a great price","ben fressola","12-6-2016","","great themostat at a great price,, not the best quality,, but if you dont abuse it ,, it works fine..","Hunter_44157","2018-01-31","no",NA,4
"1.0 out of 5 stars","JUNK","Knight","8-15-2015","","Lasted about 3 years before the temp set buttons had to be pushed in with a pen or pencil and held to get the temp to change. ABSOULUTE JUNK, VERY CHEAP PRODUCT DOES NOT LAST.","Hunter_44157","2018-01-31","no",NA,1
"1.0 out of 5 stars","Easy to install, but it's got the DEVIL IN IT!","Ravenous","12-8-2014","","Bought this from Wal-Mart. Easy to install, read the instructions and all, but this thermostat has a mind of its own.Every once and a while I notice it feels to hot inside, and I find that it's set to 68, or even 75. It's random. I'm frequently having to go through the whole program to make sure the two different times during the weekdays and weekends are set back to where I want it. Frustrating.","Hunter_44157","2018-01-31","no",NA,1
"1.0 out of 5 stars","don't waste your money","Brooke douglass","2-21-2015","","Constantly resets itself. Won't reach desired temps. I'll do a permanent hold on 70 yet 10 minutes later its set on 60 . Horrible thermostat.","Hunter_44157","2018-01-31","no",NA,1
"1.0 out of 5 stars","Batteries are good of course because I've tested them","John Hashimoto","1-31-2018","Pattern: 5-2 Day|Verified Purchase","I've been getting low battery messages now for a couple of months even after I install new batteries! Batteries are good of course because I've tested them.  Today was freezing and the furnace would not start at all. Installed new batteries and went through all the resets listed in the manual. No Go! I tried to call the tech support line and they couldn't take my call because their system was down.Drove to Home Depot, bought a Honeywell unit and got it going in about 15 minutes.Thumbs DOWN.","Lux_TX500U","2018-01-31","yes",3,1
"5.0 out of 5 stars","After doing a great deal of research so that I fully understood how ...","Jeff D","12-30-2016","Pattern: 5-2 Day|Verified Purchase","Replaced my old Baystat240 with the TX500Uc on a Trane heat pump. I compared quite a few thermostats and the LUX had the features I desired.  After doing a great deal of research so that I fully understood how each of the 8 wires on the old system worked, I was quite comfortable making the change.  Took about 20 minutes and so far after a week the LUX has worked perfectly.  We are using this in a second home, so we keep it on manual.  In addition the adjustable settings for swing temperature and when the AUX heat kicks in should save plenty of money and wear and tear over the years.  I've seen a couple of reviews that say there is a high pitch hum when the light is on, but I can't hear anything.  My only criticism is that the back light is a little dim, otherwise the unit has been great.","Lux_TX500U","2018-01-31","yes",3,5
"5.0 out of 5 stars","Easy to setup and noticed a small decrease in our utility bills","dnome123","12-15-2017","Pattern: 7-Day|Verified Purchase","Easy to setup and noticed a small decrease in our utility bills - nothing major, but we are only decreasing the heat/air when we are at work only by 3 degrees. Obviously, we could save more by going to the recommended 8 degrees for heat and 4 degrees for air, but the product works great and easy to use.","Lux_TX500U","2018-01-31","yes",7,5
